Date : 2023-01-28 01:15:17
Directory : d:\maturski\foodsprint_frontend
Total : 132 files,  25085 codes, 119 comments, 1009 blanks, all 26213 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| src\components\componentsMain                                                              |         18 |      1,226 |          3 |        153 |      1,382 |
| src\components\componentsPanel                                                             |          4 |        100 |          1 |         11 |        112 |
| src\components\componentsProfile                                                           |          4 |         74 |          1 |         12 |         87 |
| src\config                                                                                 |          1 |          6 |          0 |          1 |          7 |
| src\features                                                                               |         48 |      2,697 |         76 |        430 |      3,203 |
| src\features\auth                                                                          |         11 |        523 |         16 |         77 |        616 |
| src\features\auth (Files)                                                                  |         10 |        515 |         16 |         76 |        607 |
| src\features\auth\slike                                                                    |          1 |          8 |          0 |          1 |          9 |
| src\features\menus                                                                         |         13 |        659 |          3 |         97 |        759 |
| src\features\menus (Files)                                                                 |         11 |        657 |          3 |         97 |        757 |
| src\features\menus\slike                                                                   |          2 |          2 |          0 |          0 |          2 |
| src\features\orders                                                                        |          4 |        218 |         13 |         39 |        270 |
| src\features\restorani                                                                     |         14 |        855 |         36 |        142 |      1,033 |
| src\features\users                                                                         |          6 |        442 |          8 |         75 |        525 |
| src\hooks                                                                                  |          2 |         51 |          3 |         10 |         64 |
| src\pages                                                                                  |          8 |         82 |          0 |         23 |        105 |
| src\pages\CheckoutPage                                                                     |          1 |          9 |          0 |          3 |         12 |
| src\pages\DostavljacPage                                                                   |          1 |          9 |          0 |          2 |         11 |
| src\pages\LandingPage                                                                      |          1 |         12 |          0 |          4 |         16 |
| src\pages\LogInPage                                                                        |          1 |          5 |          0 |          3 |          8 |
| src\pages\MainPage                                                                         |          1 |         27 |          0 |          3 |         30 |
| src\pages\Restoranipage                                                                    |          1 |          7 |          0 |          3 |         10 |
| src\pages\SignUpPage                                                                       |          1 |          4 |          0 |          2 |          6 |
| src\pages\UsersPage                                                                        |          1 |          9 |          0 |          3 |         12 |
| src\redux                                                                                  |          1 |          7 |          0 |          2 |          9 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                   | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\maturski\foodsprint_frontend\.env                                                       | Properties       |          1 |          0 |          0 |          1 |
| d:\maturski\foodsprint_frontend\README.md                                                  | Markdown         |         38 |          0 |         33 |         71 |
| d:\maturski\foodsprint_frontend\package-lock.json                                          | JSON             |     18,004 |          0 |          1 |     18,005 |
| d:\maturski\foodsprint_frontend\package.json                                               | JSON             |         65 |          0 |          1 |         66 |
| d:\maturski\foodsprint_frontend\public\index.html                                          | HTML             |         32 |          0 |          1 |         33 |
| d:\maturski\foodsprint_frontend\src\App.js                                                 | JavaScript       |         92 |          0 |          6 |         98 |
| d:\maturski\foodsprint_frontend\src\app\api\apiSlice.js                                    | JavaScript       |         34 |         21 |          7 |         62 |
| d:\maturski\foodsprint_frontend\src\app\cartRedux.js                                       | JavaScript       |         31 |          2 |          4 |         37 |
| d:\maturski\foodsprint_frontend\src\app\store.js                                           | JavaScript       |         30 |          0 |          5 |         35 |
| d:\maturski\foodsprint_frontend\src\app\userRedux.js                                       | JavaScript       |         24 |          0 |          3 |         27 |
| d:\maturski\foodsprint_frontend\src\components\ProtectedLayout.js                          | JavaScript       |         11 |          0 |          1 |         12 |
| d:\maturski\foodsprint_frontend\src\components\componentsCheckout\CheckoutComponent.jsx    | JavaScript React |         14 |          0 |          3 |         17 |
| d:\maturski\foodsprint_frontend\src\components\componentsCheckout\CheckoutItem.jsx         | JavaScript React |         22 |          1 |          4 |         27 |
| d:\maturski\foodsprint_frontend\src\components\componentsCheckout\InfoCheckout.jsx         | JavaScript React |        319 |          4 |         16 |        339 |
| d:\maturski\foodsprint_frontend\src\components\componentsCheckout\ItemsCheckout.jsx        | JavaScript React |         73 |          4 |          7 |         84 |
| d:\maturski\foodsprint_frontend\src\components\componentsCheckout\checkoutComponent.css    | CSS              |         11 |          0 |          4 |         15 |
| d:\maturski\foodsprint_frontend\src\components\componentsCheckout\infoCheckout.css         | CSS              |        162 |          0 |         35 |        197 |
| d:\maturski\foodsprint_frontend\src\components\componentsCheckout\itemsCheckout.css        | CSS              |        203 |          0 |         33 |        236 |
| d:\maturski\foodsprint_frontend\src\components\componentsDostava\AssignedBoxDostavljac.jsx | JavaScript React |         54 |          0 |          8 |         62 |
| d:\maturski\foodsprint_frontend\src\components\componentsDostava\DostavaComponent.jsx      | JavaScript React |         67 |          2 |          5 |         74 |
| d:\maturski\foodsprint_frontend\src\components\componentsDostava\OrderBoxDostavljac.jsx    | JavaScript React |         40 |          0 |          7 |         47 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\AppBanner.jsx                | JavaScript React |         47 |          0 |          4 |         51 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\Faq.jsx                      | JavaScript React |        146 |          0 |         21 |        167 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\Features.jsx                 | JavaScript React |         52 |          0 |          3 |         55 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\FoodSprintLogo.jsx           | JavaScript React |         11 |          0 |          3 |         14 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\Footer.jsx                   | JavaScript React |         77 |          0 |         21 |         98 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\Hero.jsx                     | JavaScript React |        103 |          0 |          5 |        108 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\HeroImage.jsx                | JavaScript React |         12 |          0 |          3 |         15 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\Navigacija.jsx               | JavaScript React |        294 |          0 |         27 |        321 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\ProductCard.jsx              | JavaScript React |         46 |          0 |          2 |         48 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\appBanner.css                | CSS              |         91 |          0 |         10 |        101 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\faq.css                      | CSS              |          2 |          0 |          1 |          3 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\features.css                 | CSS              |         87 |          0 |         15 |        102 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\foodSprintLogo.css           | CSS              |          3 |          0 |          1 |          4 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\footer.css                   | CSS              |        108 |          0 |         25 |        133 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\hero.css                     | CSS              |        180 |          0 |         28 |        208 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\heroImage.css                | CSS              |          0 |          0 |          2 |          2 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\navigacija.css               | CSS              |          7 |          0 |          1 |          8 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\partneriCard.css             | CSS              |          4 |          0 |          1 |          5 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\productCard.css              | CSS              |        218 |          0 |          8 |        226 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\slike\blobScene7.svg         | XML              |          1 |          0 |          0 |          1 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\slike\undraw1.svg            | XML              |          1 |          0 |          0 |          1 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\slike\undraw_1.svg           | XML              |          1 |          0 |          0 |          1 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\slike\undraw_2.svg           | XML              |          1 |          0 |          0 |          1 |
| d:\maturski\foodsprint_frontend\src\components\componentsHero\slike\undraw_3.svg           | XML              |          1 |          0 |          0 |          1 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\AsideMain.jsx                | JavaScript React |         57 |          0 |          3 |         60 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\CarouselMain.jsx             | JavaScript React |         61 |          0 |          2 |         63 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\CartItem.jsx                 | JavaScript React |         24 |          0 |          4 |         28 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\FoodSprintLogoMain.jsx       | JavaScript React |         11 |          0 |          3 |         14 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\GlavnoMain.jsx               | JavaScript React |         14 |          0 |          3 |         17 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\KosturMain.jsx               | JavaScript React |         95 |          0 |          6 |        101 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\MainSearch.jsx               | JavaScript React |        115 |          3 |          4 |        122 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\NavigacijaMain.jsx           | JavaScript React |        247 |          0 |         21 |        268 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\ProfileAvatar.jsx            | JavaScript React |        101 |          0 |         15 |        116 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\asideMain.css                | CSS              |        135 |          0 |         27 |        162 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\carouselMain.css             | CSS              |         59 |          0 |         10 |         69 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\foodSprintLogoMain.css       | CSS              |          3 |          0 |          1 |          4 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\glavnoMain.css               | CSS              |         24 |          0 |          3 |         27 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\kosturMain.css               | CSS              |         81 |          0 |         15 |         96 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\mainSearch.css               | CSS              |         81 |          0 |         13 |         94 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\navigacijaMain.css           | CSS              |         48 |          0 |         11 |         59 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\restoranCard.css             | CSS              |         58 |          0 |         10 |         68 |
| d:\maturski\foodsprint_frontend\src\components\componentsMain\restorani.css                | CSS              |         12 |          0 |          2 |         14 |
| d:\maturski\foodsprint_frontend\src\components\componentsPanel\Narudzbe.jsx                | JavaScript React |         41 |          1 |          4 |         46 |
| d:\maturski\foodsprint_frontend\src\components\componentsPanel\OrderBoxAdmin.jsx           | JavaScript React |         26 |          0 |          3 |         29 |
| d:\maturski\foodsprint_frontend\src\components\componentsPanel\Panel.jsx                   | JavaScript React |         33 |          0 |          3 |         36 |
| d:\maturski\foodsprint_frontend\src\components\componentsPanel\panel.css                   | CSS              |          0 |          0 |          1 |          1 |
| d:\maturski\foodsprint_frontend\src\components\componentsProfile\MyOrders.jsx              | JavaScript React |         10 |          0 |          3 |         13 |
| d:\maturski\foodsprint_frontend\src\components\componentsProfile\OrderBox.jsx              | JavaScript React |         16 |          0 |          3 |         19 |
| d:\maturski\foodsprint_frontend\src\components\componentsProfile\OrdersPage.jsx            | JavaScript React |         44 |          1 |          5 |         50 |
| d:\maturski\foodsprint_frontend\src\components\componentsProfile\orderBox.css              | CSS              |          4 |          0 |          1 |          5 |
| d:\maturski\foodsprint_frontend\src\config\roles.js                                        | JavaScript       |          6 |          0 |          1 |          7 |
| d:\maturski\foodsprint_frontend\src\features\auth\LogComponent.jsx                         | JavaScript React |         91 |          0 |          9 |        100 |
| d:\maturski\foodsprint_frontend\src\features\auth\Login.js                                 | JavaScript       |        127 |          0 |         14 |        141 |
| d:\maturski\foodsprint_frontend\src\features\auth\PersistLogin.js                          | JavaScript       |         53 |          9 |         11 |         73 |
| d:\maturski\foodsprint_frontend\src\features\auth\Prefetch.js                              | JavaScript       |         22 |          0 |          3 |         25 |
| d:\maturski\foodsprint_frontend\src\features\auth\RegisterComponent.jsx                    | JavaScript React |         10 |          0 |          3 |         13 |
| d:\maturski\foodsprint_frontend\src\features\auth\RegisterForm.js                          | JavaScript       |         50 |          4 |         10 |         64 |
| d:\maturski\foodsprint_frontend\src\features\auth\RequireAuth.js                           | JavaScript       |         13 |          1 |          4 |         18 |
| d:\maturski\foodsprint_frontend\src\features\auth\authApiSlice.js                          | JavaScript       |         47 |          2 |          3 |         52 |
| d:\maturski\foodsprint_frontend\src\features\auth\authSlice.js                             | JavaScript       |         17 |          0 |          5 |         22 |
| d:\maturski\foodsprint_frontend\src\features\auth\logIn.css                                | CSS              |         85 |          0 |         14 |         99 |
| d:\maturski\foodsprint_frontend\src\features\auth\slike\blobAnim.svg                       | XML              |          8 |          0 |          1 |          9 |
| d:\maturski\foodsprint_frontend\src\features\menus\AsideRestoran.jsx                       | JavaScript React |         80 |          0 |          7 |         87 |
| d:\maturski\foodsprint_frontend\src\features\menus\CartItemRestoran.jsx                    | JavaScript React |         22 |          1 |          4 |         27 |
| d:\maturski\foodsprint_frontend\src\features\menus\MenuItem.jsx                            | JavaScript React |         59 |          0 |          7 |         66 |
| d:\maturski\foodsprint_frontend\src\features\menus\Menus.jsx                               | JavaScript React |         12 |          0 |          4 |         16 |
| d:\maturski\foodsprint_frontend\src\features\menus\MenusList.jsx                           | JavaScript React |         24 |          0 |          6 |         30 |
| d:\maturski\foodsprint_frontend\src\features\menus\NewMenu.js                              | JavaScript       |         10 |          0 |          5 |         15 |
| d:\maturski\foodsprint_frontend\src\features\menus\NewMenuForm.js                          | JavaScript       |         94 |          0 |         12 |        106 |
| d:\maturski\foodsprint_frontend\src\features\menus\RestoranPage.jsx                        | JavaScript React |         55 |          2 |          7 |         64 |
| d:\maturski\foodsprint_frontend\src\features\menus\asideRestoran.css                       | CSS              |        190 |          0 |         31 |        221 |
| d:\maturski\foodsprint_frontend\src\features\menus\menuItem.css                            | CSS              |         36 |          0 |          6 |         42 |
| d:\maturski\foodsprint_frontend\src\features\menus\menusApiSlice.js                        | JavaScript       |         75 |          0 |          8 |         83 |
| d:\maturski\foodsprint_frontend\src\features\menus\slike\circleScatter.svg                 | XML              |          1 |          0 |          0 |          1 |
| d:\maturski\foodsprint_frontend\src\features\menus\slike\groceries.svg                     | XML              |          1 |          0 |          0 |          1 |
| d:\maturski\foodsprint_frontend\src\features\orders\NewOrder.js                            | JavaScript       |         10 |          9 |          9 |         28 |
| d:\maturski\foodsprint_frontend\src\features\orders\NewOrderForm.js                        | JavaScript       |         91 |          0 |         14 |        105 |
| d:\maturski\foodsprint_frontend\src\features\orders\orderClicked.js                        | JavaScript       |         42 |          0 |          8 |         50 |
| d:\maturski\foodsprint_frontend\src\features\orders\ordersApiSlice.js                      | JavaScript       |         75 |          4 |          8 |         87 |
| d:\maturski\foodsprint_frontend\src\features\restorani\EditRestoran.js                     | JavaScript       |         18 |          0 |          5 |         23 |
| d:\maturski\foodsprint_frontend\src\features\restorani\EditRestoranForm.js                 | JavaScript       |        188 |          1 |         22 |        211 |
| d:\maturski\foodsprint_frontend\src\features\restorani\NewRestoran.js                      | JavaScript       |         10 |          9 |          9 |         28 |
| d:\maturski\foodsprint_frontend\src\features\restorani\NewRestoranForm.js                  | JavaScript       |        107 |          0 |         15 |        122 |
| d:\maturski\foodsprint_frontend\src\features\restorani\RestoranCard.jsx                    | JavaScript React |         45 |          0 |          4 |         49 |
| d:\maturski\foodsprint_frontend\src\features\restorani\RestoranOwner.jsx                   | JavaScript React |         85 |          0 |         10 |         95 |
| d:\maturski\foodsprint_frontend\src\features\restorani\RestoranPageList.jsx                | JavaScript React |         27 |          0 |          9 |         36 |
| d:\maturski\foodsprint_frontend\src\features\restorani\Restorani.jsx                       | JavaScript React |         32 |          0 |          4 |         36 |
| d:\maturski\foodsprint_frontend\src\features\restorani\RestoraniEdit.jsx                   | JavaScript React |         32 |          0 |          4 |         36 |
| d:\maturski\foodsprint_frontend\src\features\restorani\RestoraniEditList.jsx               | JavaScript React |         27 |          0 |          9 |         36 |
| d:\maturski\foodsprint_frontend\src\features\restorani\RestoraniList.jsx                   | JavaScript React |         34 |         22 |         10 |         66 |
| d:\maturski\foodsprint_frontend\src\features\restorani\editRestoranForm.css                | CSS              |         91 |          0 |         17 |        108 |
| d:\maturski\foodsprint_frontend\src\features\restorani\newRestoranForm.css                 | CSS              |         79 |          0 |         16 |         95 |
| d:\maturski\foodsprint_frontend\src\features\restorani\restoraniApiSlice.js                | JavaScript       |         80 |          4 |          8 |         92 |
| d:\maturski\foodsprint_frontend\src\features\users\EditUser.js                             | JavaScript       |         11 |          1 |          5 |         17 |
| d:\maturski\foodsprint_frontend\src\features\users\EditUserForm.js                         | JavaScript       |        161 |          1 |         24 |        186 |
| d:\maturski\foodsprint_frontend\src\features\users\NewUserForm.js                          | JavaScript       |        117 |          1 |         19 |        137 |
| d:\maturski\foodsprint_frontend\src\features\users\User.js                                 | JavaScript       |         26 |          0 |          9 |         35 |
| d:\maturski\foodsprint_frontend\src\features\users\UsersList.jsx                           | JavaScript React |         52 |          1 |         10 |         63 |
| d:\maturski\foodsprint_frontend\src\features\users\usersApiSlice.js                        | JavaScript       |         75 |          4 |          8 |         87 |
| d:\maturski\foodsprint_frontend\src\hooks\useAuth.js                                       | JavaScript       |         40 |          3 |          6 |         49 |
| d:\maturski\foodsprint_frontend\src\hooks\usePersist.js                                    | JavaScript       |         11 |          0 |          4 |         15 |
| d:\maturski\foodsprint_frontend\src\index.js                                               | JavaScript       |         22 |          1 |          2 |         25 |
| d:\maturski\foodsprint_frontend\src\pages\CheckoutPage\CheckoutPage.jsx                    | JavaScript React |          9 |          0 |          3 |         12 |
| d:\maturski\foodsprint_frontend\src\pages\DostavljacPage\Dostavljac.jsx                    | JavaScript React |          9 |          0 |          2 |         11 |
| d:\maturski\foodsprint_frontend\src\pages\LandingPage\Landing.jsx                          | JavaScript React |         12 |          0 |          4 |         16 |
| d:\maturski\foodsprint_frontend\src\pages\LogInPage\LogIn.jsx                              | JavaScript React |          5 |          0 |          3 |          8 |
| d:\maturski\foodsprint_frontend\src\pages\MainPage\Main.jsx                                | JavaScript React |         27 |          0 |          3 |         30 |
| d:\maturski\foodsprint_frontend\src\pages\Restoranipage\RestoraniPage.jsx                  | JavaScript React |          7 |          0 |          3 |         10 |
| d:\maturski\foodsprint_frontend\src\pages\SignUpPage\SignUp.jsx                            | JavaScript React |          4 |          0 |          2 |          6 |
| d:\maturski\foodsprint_frontend\src\pages\UsersPage\Users.jsx                              | JavaScript React |          9 |          0 |          3 |         12 |
| d:\maturski\foodsprint_frontend\src\redux\cartStore.js                                     | JavaScript       |          7 |          0 |          2 |          9 |
| Total                                                                                      |                  |     25,085 |        119 |      1,009 |     26,213 |
+--------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
